canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
57,Dactylorhiza maculata ssp,Dactylorhiza maculata ssp. sooana Borsos ex BatouÅ¡ek,. sooana Borsos ex BatouÅ¡ek,subspecies,accepted,False,,12,GBIF
58,Cheirostylis javanica,Cheirostylis javanica J. J. Sm.,J. J. Sm.,species,accepted,False,,2,GBIF
59,Dactylorhiza saccifera ssp,Dactylorhiza saccifera ssp. cyrnea (Foelsche & Cord-Landwehr) comb. ined.,. cyrnea (Foelsche & Cord-Landwehr) comb. ined.,subspecies,accepted,False,,2,GBIF
60,Habenaria andamanica,Habenaria andamanica Hook.f.,Hook.f.,species,accepted,False,,2,GBIF
61,Cheirostylis kabaenae,Cheirostylis kabaenae Ormerod,Ormerod,species,accepted,False,,2,GBIF
62,Diuris chrysantha,Diuris chrysantha D. L. Jones & M. A. Clem.,D. L. Jones & M. A. Clem.,species,accepted,False,,2,GBIF
63,Habenaria novae-hiberniae,Habenaria novae-hiberniae Schltr.,Schltr.,species,accepted,False,,1,GBIF
64,Dactylorhiza x,Dactylorhiza x paridaeniana Kreutz,paridaeniana Kreutz,species,accepted,True,,158,GBIF
65,Habenaria novaesii,Habenaria novaesii Edwall & Hoehne,Edwall & Hoehne,species,accepted,False,,3,GBIF
66,Habenaria vatia,Habenaria vatia D. L. Jones,D. L. Jones,species,accepted,False,,2,GBIF
67,Habenaria velutina,Habenaria velutina Summerh.,Summerh.,species,accepted,False,,2,GBIF
68,Habenaria ventricosa,Habenaria ventricosa Frapp.,Frapp.,species,accepted,False,,2,GBIF
69,Cheirostylis latipetala,Cheirostylis latipetala Aver. & Averyanova,Aver. & Averyanova,species,accepted,False,,3,GBIF
70,Gymnigritella x,xGymnigritella x perkoana W. Foelsche,x perkoana W. Foelsche,species,accepted,True,,19,GBIF
71,Cynorkis sacculata,Cynorkis sacculata Schltr.,Schltr.,species,accepted,False,,2,GBIF
72,Cynorkis sagittata,Cynorkis sagittata H. Perrier,H. Perrier,species,accepted,False,,2,GBIF
73,Cryptostylis acutata,Cryptostylis acutata J. J. Sm.,J. J. Sm.,species,accepted,False,,3,GBIF
74,Cynorkis sambiranoensis,Cynorkis sambiranoensis Schltr.,Schltr.,species,accepted,False,,2,GBIF
75,Cynorkis sanguinolenta,"Cynorkis sanguinolenta Hermans, L. Gaut. & P. J. Cribb","Hermans, L. Gaut. & P. J. Cribb",species,accepted,False,,2,GBIF
