decimal_latitude,decimal_longitude
10.76,-85.3341
10.76,-85.3341
10.76,-85.3341
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.76,-85.3341
10.76,-85.3341
10.7612,-85.3353
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.76,-85.3341
18.3669,73.7512
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
10.7606,-85.335
10.7606,-85.335
10.7634,-85.3347
10.7606,-85.335
